//ID,   Name,                   Jname,                  LV,     HP,         SP,     EXP,        JEXP,   Range1, ATK1,   ATK2,   DEF,    MDEF,   STR,    AGI,    VIT,    INT,    DEX,    LUK,    Range2, Range3, Scale,  Race,   Element,Mode,   Speed,  Adelay, Amotion,Dmotion,Drop1id,Drop1per,   Drop2id,Drop2%, Drop3id,Drop3%, Drop4id,Drop4%, Drop5id,Drop5%, Drop6id,Drop6%, Drop7id,Drop7%,     Drop8id,Drop8%, Item1,  Item2,  MEXP,   ExpPer, MVP1id, MVP1per,MVP2id, MVP2per,MVP3id, MVP3per,mutationcount,mutationstrength

8006,   TheLost,                TheLost,                30,     5000,       0,      0,          841,    5,      260,    375,    10,     70,     5,      40,     10,     70,     70,     40,     4,      9,      1,      1,      69,     141,    500,    2000,   672,    300,    0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0

8007,   PunkSkeleton,           PunkSkeleton,           90,     6800,       0,      0,          1467,   1,      129,    354,    12,     10,     35,     18,     3,      8,      71,     65,     1,      1,      1,      0,      29,     175,    340,    1800,   672,    950,    0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30

8008,   ShadowSnake,            ShadowSnake,            72,     1505,       0,      0,          63,     1,      125,    175,    4,      6,      20,     40,     10,     10,     110,    45,     1,      1,      1,      0,      89,     133,    230,    900,    672,    480,    631,    1000,       0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      2,      30

8009,   LavaSlime,              LavaSlime,              50,     1000,       0,      1000,       1,      1,      100,    0,      1,      0,      0,      0,      0,      0,      0,      0,      1,      1,      1,      3,      21,     175,    800,    800,    672,    480,    8028,    100,       8028,   100,    8020,   15,     8030,   40,     8030,  40,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      60

8010,   SnowFlake,              SnowFlake,              30,     150,        0,      250,        1,      1,      14,     0,      1,      0,      0,      0,      0,      0,      0,      0,      1,      1,      1,      3,      22,     129,    800,    800,    672,    480,    4026,    300,       0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      60

8011,   Penguin,                Penguin,                30,     500,        0,      345,        1,      1,      25,     0,      1,      0,      0,      0,      0,      0,      0,      0,      1,      1,      1,      3,      22,     129,    800,    800,    672,    480,    627,     2,         0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      60

8012,   TreasureBox,            TreasureBox,            100,    10000,      0,      3500,       1,      10,     200,    0,     40,      0,      0,      0,      0,      0,      30,     0,      1,      1,      1,      3,      22,     128,    800,    800,    672,    480,    8016,    1,         8030,   40,     8030,   40,     0,      0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      60

8013,   BlackSlime,             BlackSlime,             40,     800,        0,      0,          96,     1,      90,     130,   20,      30,     20,     30,     10,     10,     30,     30,     1,      1,      1,      0,      21,     175,    1200,   1872,   672,    480,    8027,    100,       8027,   100,    8027,   100,    0,      0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      20

8014,   FafiDragon,             Fafi Dragon,            150,    15000,      0,      8000,       110,    7,      250,    300,   50,      35,     50,     10,     50,     0,      100,    40,     1,      1,      1,      1,      20,     175,    800,    800,    672,    480,    8030,    200,       0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,          0,      0,      0,      0,       ,       ,       ,       ,       ,       ,      2,      10,     1,      20,
